Date,Season,Commodity,Price
15-Aug-19,SUMMER,HRW,3.89
15-Aug-19,SUMMER,DNS,4.65
16-Aug-19,SUMMER,HRW,3.94
16-Aug-19,SUMMER,DNS,4.69
19-Aug-19,SUMMER,HRW,3.91
19-Aug-19,SUMMER,DNS,4.68
20-Aug-19,SUMMER,HRW,3.86
20-Aug-19,SUMMER,DNS,4.67
21-Aug-19,SUMMER,HRW,3.86
21-Aug-19,SUMMER,DNS,4.65
22-Aug-19,SUMMER,HRW,3.93
22-Aug-19,SUMMER,DNS,4.61
23-Aug-19,SUMMER,HRW,3.91
23-Aug-19,SUMMER,DNS,4.61
26-Aug-19,SUMMER,HRW,3.89
26-Aug-19,SUMMER,DNS,4.55
27-Aug-19,SUMMER,HRW,3.92
27-Aug-19,SUMMER,DNS,4.57
28-Aug-19,SUMMER,HRW,3.92
28-Aug-19,SUMMER,DNS,4.5
29-Aug-19,SUMMER,HRW,3.87
29-Aug-19,SUMMER,DNS,4.42
30-Aug-19,SUMMER,HRW,3.82
30-Aug-19,SUMMER,DNS,4.39
3-Sep-19,SUMMER,HRW,3.67
3-Sep-19,SUMMER,DNS,4.3
4-Sep-19,SUMMER,HRW,3.74
4-Sep-19,SUMMER,DNS,4.4
5-Sep-19,SUMMER,HRW,3.83
5-Sep-19,SUMMER,DNS,4.48
6-Sep-19,SUMMER,HRW,3.83
6-Sep-19,SUMMER,DNS,4.4
9-Sep-19,SUMMER,HRW,3.88
9-Sep-19,SUMMER,DNS,4.42
10-Sep-19,SUMMER,HRW,3.93
10-Sep-19,SUMMER,DNS,4.49
11-Sep-19,SUMMER,HRW,3.93
11-Sep-19,SUMMER,DNS,4.48
12-Sep-19,SUMMER,HRW ,3.98
12-Sep-19,SUMMER,DNS,4.53
13-Sep-19,SUMMER,HRW,3.94
13-Sep-19,SUMMER,DNS,4.51
16-Sep-19,SUMMER,HRW,4.04
16-Sep-19,SUMMER,DNS,4.7
17-Sep-19,SUMMER,HRW,3.97
17-Sep-19,SUMMER,DNS,4.67
18-Sep-19,SUMMER,HRW,4.04
18-Sep-19,SUMMER,DNS,4.74
19-Sep-19,SUMMER,HRW,4.14
19-Sep-19,SUMMER,DNS,4.81
20-Sep-19,SUMMER,HRW,4.12
20-Sep-19,SUMMER,DNS,4.85
23-Sep-19,FALL,HRW,4.11
23-Sep-19,FALL,DNS,4.98
24-Sep-19,FALL,HRW,4.1
24-Sep-19,FALL,DNS,5.05
25-Sep-19,FALL,HRW,4.09
25-Sep-19,FALL,DNS,5.15
26-Sep-19,FALL,HRW,4.18
26-Sep-19,FALL,DNS,5.09
27-Sep-19,FALL,HRW,4.17
27-Sep-19,FALL,DNS,5.18
30-Sep-19,FALL,HRW,4.25
30-Sep-19,FALL,DNS,5.15
1-Oct-19,FALL,HRW,4.26
1-Oct-19,FALL,DNS,5.04
2-Oct-19,FALL,HRW,4.2
2-Oct-19,FALL,DNS,5
3-Oct-19,FALL,HRW,4.2
3-Oct-19,FALL,DNS,5
4-Oct-19,FALL,HRW,4.19
4-Oct-19,FALL,DNS,5.07
7-Oct-19,FALL,HRW,4.17
7-Oct-19,FALL,DNS,5.19
8-Oct-19,FALL,HRW,4.25
8-Oct-19,FALL,DNS,5.24
9-Oct-19,FALL,HRW,4.28
9-Oct-19,FALL,DNS,5.22
10-Oct-19,FALL,HRW,4.18
10-Oct-19,FALL,DNS,5.16
11-Oct-19,FALL,HRW,4.34
11-Oct-19,FALL,DNS,5.29
14-Oct-19,FALL,HRW,4.4
14-Oct-19,FALL,DNS,5.48
15-Oct-19,FALL,HRW,4.36
15-Oct-19,FALL,DNS,5.41
16-Oct-19,FALL,HRW,4.4
16-Oct-19,FALL,DNS,5.46
17-Oct-19,FALL,HRW,4.46
17-Oct-19,FALL,DNS,5.48
18-Oct-19,FALL,HRW,4.48
18-Oct-19,FALL,DNS,5.4
21-Oct-19,FALL,HRW,4.4
21-Oct-19,FALL,DNS,5.38
22-Oct-19,FALL,HRW,4.36
22-Oct-19,FALL,DNS,5.4
23-Oct-19,FALL,HRW,4.38
23-Oct-19,FALL,DNS,5.43
24-Oct-19,FALL,HRW,4.44
24-Oct-19,FALL,DNS,5.41
25-Oct-19,FALL,HRW,4.47
25-Oct-19,FALL,DNS,5.37
28-Oct-19,FALL,HRW,4.42
28-Oct-19,FALL,DNS,5.28
29-Oct-19,FALL,HRW,4.44
29-Oct-19,FALL,DNS,5.26
30-Oct-19,FALL,HRW,4.43
30-Oct-19,FALL,DNS,5.24
31-Oct-19,FALL,HRW,4.44
31-Oct-19,FALL,DNS,5.25
1-Nov-19,FALL,HRW,4.56
1-Nov-19,FALL,DNS,5.37
4-Nov-19,FALL,HRW,4.53
4-Nov-19,FALL,DNS,5.3
5-Nov-19,FALL,HRW,4.58
5-Nov-19,FALL,DNS,5.32
6-Nov-19,FALL,HRW,4.57
6-Nov-19,FALL,DNS,5.29
7-Nov-19,FALL,HRW,4.54
7-Nov-19,FALL,DNS,5.24
8-Nov-19,FALL,HRW,4.51
8-Nov-19,FALL,DNS,5.24
11-Nov-19,FALL,HRW,4.52
11-Nov-19,FALL,DNS,5.26
12-Nov-19,FALL,HRW,4.68
12-Nov-19,FALL,DNS,5.32
13-Nov-19,FALL,HRW,4.54
13-Nov-19,FALL,DNS,5.26
14-Nov-19,FALL,HRW,4.52
14-Nov-19,FALL,DNS,5.23
15-Nov-19,FALL,HRW,4.47
15-Nov-19,FALL,DNS,5.14
18-Nov-19,FALL,HRW,4.48
18-Nov-19,FALL,DNS,5.14
19-Nov-19,FALL,HRW,4.55
19-Nov-19,FALL,DNS,5.14
20-Nov-19,FALL,HRW,4.58
20-Nov-19,FALL,DNS,5.12
21-Nov-19,FALL,HRW,4.53
21-Nov-19,FALL,DNS,5.06
22-Nov-19,FALL,HRW,4.56
22-Nov-19,FALL,DNS,5.03
25-Nov-19,FALL,HRW,4.66
25-Nov-19,FALL,DNS,5.09
26-Nov-19,FALL,HRW,4.64
26-Nov-19,FALL,DNS,5.05
27-Nov-19,FALL,HRW,4.58
27-Nov-19,FALL,DNS,4.99
29-Nov-19,FALL,HRW,4.7
29-Nov-19,FALL,DNS,5.05
2-Dec-19,FALL,HRW,4.64
2-Dec-19,FALL,DNS,5.15
3-Dec-19,FALL,HRW,4.71
3-Dec-19,FALL,DNS,5.19
4-Dec-19,FALL,HRW,4.75
4-Dec-19,FALL,DNS,5.21
5-Dec-19,FALL,HRW,4.7
5-Dec-19,FALL,DNS,5.29
6-Dec-19,FALL,HRW,4.66
6-Dec-19,FALL,DNS,5.28
9-Dec-19,FALL,HRW,4.61
9-Dec-19,FALL,DNS,5.29
10-Dec-19,FALL,HRW,4.66
10-Dec-19,FALL,DNS,5.34
11-Dec-19,FALL,HRW,4.65
11-Dec-19,FALL,DNS,5.34
12-Dec-19,FALL,HRW,4.77
12-Dec-19,FALL,DNS,5.39
13-Dec-19,FALL,HRW,4.77
13-Dec-19,FALL,DNS,5.41
16-Dec-19,FALL,HRW,4.97
16-Dec-19,FALL,DNS,5.53
17-Dec-19,FALL,HRW,4.92
17-Dec-19,FALL,DNS,5.54
18-Dec-19,FALL,HRW,4.87
18-Dec-19,FALL,DNS,5.49
19-Dec-19,FALL,HRW,4.85
19-Dec-19,FALL,DNS,5.52
20-Dec-19,FALL,HRW,4.87
20-Dec-19,FALL,DNS,5.47
23-Dec-19,WINTER,HRW,4.83
23-Dec-19,WINTER,DNS,5.48
24-Dec-19,WINTER,HRW,4.85
24-Dec-19,WINTER,DNS,5.54
26-Dec-19,WINTER,HRW,4.95
26-Dec-19,WINTER,DNS,5.58
27-Dec-19,WINTER,HRW,5
27-Dec-19,WINTER,DNS,5.64
30-Dec-19,WINTER,HRW,4.91
30-Dec-19,WINTER,DNS,5.58
31-Dec-19,WINTER,HRW,4.97
31-Dec-19,WINTER,DNS,5.62
2-Jan-20,WINTER,HRW,4.91
2-Jan-20,WINTER,DNS,5.59
3-Jan-20,WINTER,HRW,4.81
3-Jan-20,WINTER,DNS,5.48
6-Jan-20,WINTER,HRW,4.83
6-Jan-20,WINTER,DNS,5.49
7-Jan-20,WINTER,HRW,4.81
7-Jan-20,WINTER,DNS,5.47
8-Jan-20,WINTER,HRW,4.86
8-Jan-20,WINTER,DNS,5.48
9-Jan-20,WINTER,HRW,4.96
9-Jan-20,WINTER,DNS,5.53
10-Jan-20,WINTER,HRW,5
10-Jan-20,WINTER,DNS,5.59
13-Jan-20,WINTER,HRW,4.98
13-Jan-20,WINTER,DNS,5.56
14-Jan-20,WINTER,HRW,4.98
14-Jan-20,WINTER,DNS,5.57
15-Jan-20,WINTER,HRW,4.97
15-Jan-20,WINTER,DNS,5.57
16-Jan-20,WINTER,HRW,4.85
16-Jan-20,WINTER,DNS,5.51
17-Jan-20,WINTER,HRW,5
17-Jan-20,WINTER,DNS,5.61
21-Jan-20,WINTER,HRW,5.06
21-Jan-20,WINTER,DNS,5.63
22-Jan-20,WINTER,HRW,4.98
22-Jan-20,WINTER,DNS,5.56
23-Jan-20,WINTER,HRW,5.03
23-Jan-20,WINTER,DNS,5.56
24-Jan-20,WINTER,HRW,4.97
24-Jan-20,WINTER,DNS,5.53
27-Jan-20,WINTER,HRW,4.97
27-Jan-20,WINTER,DNS,5.53
28-Jan-20,WINTER,HRW,4.93
28-Jan-20,WINTER,DNS,5.48
29-Jan-20,WINTER,HRW,4.83
29-Jan-20,WINTER,DNS,5.41
30-Jan-20,WINTER,HRW,4.82
30-Jan-20,WINTER,DNS,5.42
31-Jan-20,WINTER,HRW,4.76
31-Jan-20,WINTER,DNS,5.39
3-Feb-20,WINTER,HRW,4.82
3-Feb-20,WINTER,DNS,5.39
4-Feb-20,WINTER,HRW,4.83
4-Feb-20,WINTER,DNS,5.37
5-Feb-20,WINTER,HRW,4.89
5-Feb-20,WINTER,DNS,5.41
6-Feb-20,WINTER,HRW,4.83
6-Feb-20,WINTER,DNS,5.38
7-Feb-20,WINTER,HRW,4.88
7-Feb-20,WINTER,DNS,5.56
10-Feb-20,WINTER,HRW,4.88
10-Feb-20,WINTER,DNS,5.54
11-Feb-20,WINTER,HRW,4.84
11-Feb-20,WINTER,DNS,5.52
12-Feb-20,WINTER,HRW,4.87
12-Feb-20,WINTER,DNS,5.52
13-Feb-20,WINTER,HRW,4.82
13-Feb-20,WINTER,DNS,5.47
14-Feb-20,WINTER,HRW,4.81
14-Feb-20,WINTER,DNS,5.46
18-Feb-20,WINTER,HRW,5.01
18-Feb-20,WINTER,DNS,5.61
19-Feb-20,WINTER,HRW,4.95
19-Feb-20,WINTER,DNS,5.57
20-Feb-20,WINTER,HRW,4.89
20-Feb-20,WINTER,DNS,5.5
21-Feb-20,WINTER,HRW,4.84
21-Feb-20,WINTER,DNS,5.47
24-Feb-20,WINTER,HRW,4.7
24-Feb-20,WINTER,DNS,5.35
25-Feb-20,WINTER,HRW,4.73
25-Feb-20,WINTER,DNS,5.37
26-Feb-20,WINTER,HRW,4.7
26-Feb-20,WINTER,DNS,5.36
27-Feb-20,WINTER,HRW,4.61
27-Feb-20,WINTER,DNS,5.28
28-Feb-20,WINTER,HRW,4.69
28-Feb-20,WINTER,DNS,5.33
2-Mar-20,WINTER,HRW,4.73
2-Mar-20,WINTER,DNS,5.39
3-Mar-20,WINTER,HRW,4.74
3-Mar-20,WINTER,DNS,5.45
4-Mar-20,WINTER,HRW,4.69
4-Mar-20,WINTER,DNS,5.4
5-Mar-20,WINTER,HRW,4.62
5-Mar-20,WINTER,DNS,5.43
6-Mar-20,WINTER,HRW,4.62
6-Mar-20,WINTER,DNS,5.46
9-Mar-20,WINTER,HRW,4.57
9-Mar-20,WINTER,DNS,5.41
10-Mar-20,WINTER,HRW,4.7
10-Mar-20,WINTER,DNS,5.39
11-Mar-20,WINTER,HRW,4.71
11-Mar-20,WINTER,DNS,5.33
12-Mar-20,WINTER,HRW,4.68
12-Mar-20,WINTER,DNS,5.35
13-Mar-20,WINTER,HRW,4.67
13-Mar-20,WINTER,DNS,5.34
16-Mar-20,WINTER,HRW,4.59
16-Mar-20,WINTER,DNS,5.35
17-Mar-20,WINTER,HRW,4.68
17-Mar-20,WINTER,DNS,5.35
18-Mar-20,WINTER,HRW,4.82
18-Mar-20,WINTER,DNS,5.35
19-Mar-20,SPRING,HRW,4.91
19-Mar-20,SPRING,DNS,5.45
20-Mar-20,SPRING,HRW,4.95
20-Mar-20,SPRING,DNS,5.47
23-Mar-20,SPRING,HRW,5.15
23-Mar-20,SPRING,DNS,5.56
24-Mar-20,SPRING,HRW,5.16
24-Mar-20,SPRING,DNS,5.61
25-Mar-20,SPRING,HRW,5.27
25-Mar-20,SPRING,DNS,5.63
26-Mar-20,SPRING,HRW,5.13
26-Mar-20,SPRING,DNS,5.57
27-Mar-20,SPRING,HRW,5.12
27-Mar-20,SPRING,DNS,5.63
30-Mar-20,SPRING,HRW,5.12
30-Mar-20,SPRING,DNS,5.6
31-Mar-20,SPRING,HRW,5.19
31-Mar-20,SPRING,DNS,5.65
1-Apr-20,SPRING,HRW,5.05
1-Apr-20,SPRING,DNS,5.55
2-Apr-20,SPRING,HRW,4.94
2-Apr-20,SPRING,DNS,5.5
3-Apr-20,SPRING,HRW,5.02
3-Apr-20,SPRING,DNS,5.55
6-Apr-20,SPRING,HRW,5.05
6-Apr-20,SPRING,DNS,5.57
7-Apr-20,SPRING,HRW,5.03
7-Apr-20,SPRING,DNS,5.55
8-Apr-20,SPRING,HRW,5.08
8-Apr-20,SPRING,DNS,5.61
9-Apr-20,SPRING,HRW,5.22
9-Apr-20,SPRING,DNS,5.63
13-Apr-20,SPRING,HRW,5.24
13-Apr-20,SPRING,DNS,5.68
14-Apr-20,SPRING,HRW,5.13
14-Apr-20,SPRING,DNS,5.52
15-Apr-20,SPRING,HRW,5.09
15-Apr-20,SPRING,DNS,5.45
16-Apr-20,SPRING,HRW,5
16-Apr-20,SPRING,DNS,5.37
17-Apr-20,SPRING,HRW,5.08
17-Apr-20,SPRING,DNS,5.37
20-Apr-20,SPRING,HRW,5.25
20-Apr-20,SPRING,DNS,5.41
21-Apr-20,SPRING,HRW,5.17
21-Apr-20,SPRING,DNS,5.31
22-Apr-20,SPRING,HRW,5.11
22-Apr-20,SPRING,DNS,5.29
23-Apr-20,SPRING,HRW,5.06
23-Apr-20,SPRING,DNS,5.31
24-Apr-20,SPRING,HRW,4.95
24-Apr-20,SPRING,DNS,5.25
27-Apr-20,SPRING,HRW,4.91
27-Apr-20,SPRING,DNS,5.2
28-Apr-20,SPRING,HRW,4.95
28-Apr-20,SPRING,DNS,5.25
29-Apr-20,SPRING,HRW,4.88
29-Apr-20,SPRING,DNS,5.18
30-Apr-20,SPRING,HRW,5.03
30-Apr-20,SPRING,DNS,5.26
1-May-20,SPRING,HRW,4.94
1-May-20,SPRING,DNS,5.17
4-May-20,SPRING,HRW,4.98
4-May-20,SPRING,DNS,5.19
5-May-20,SPRING,HRW,4.95
5-May-20,SPRING,DNS,5.21
6-May-20,SPRING,HRW,4.88
6-May-20,SPRING,DNS,5.18
7-May-20,SPRING,HRW,4.89
7-May-20,SPRING,DNS,5.12
8-May-20,SPRING,HRW,4.91
8-May-20,SPRING,DNS,5.17
11-May-20,SPRING,HRW,4.86
11-May-20,SPRING,DNS,5.19
12-May-20,SPRING,HRW,4.8
12-May-20,SPRING,DNS,5.22
13-May-20,SPRING,HRW,4.65
13-May-20,SPRING,DNS,5.09
14-May-20,SPRING,HRW,4.62
14-May-20,SPRING,DNS,5.09
15-May-20,SPRING,HRW,4.63
15-May-20,SPRING,DNS,5.07
18-May-20,SPRING,HRW,4.57
18-May-20,SPRING,DNS,5.05
19-May-20,SPRING,HRW,4.52
19-May-20,SPRING,DNS,5.09
20-May-20,SPRING,HRW,4.69
20-May-20,SPRING,DNS,5.21
21-May-20,SPRING,HRW,4.8
21-May-20,SPRING,DNS,5.19
22-May-20,SPRING,HRW,4.7
22-May-20,SPRING,DNS,5.14
26-May-20,SPRING,HRW,4.73
26-May-20,SPRING,DNS,5.18
27-May-20,SPRING,HRW,4.77
27-May-20,SPRING,DNS,5.14
28-May-20,SPRING,HRW,4.9
28-May-20,SPRING,DNS,5.2
29-May-20,SPRING,HRW,4.96
29-May-20,SPRING,DNS,5.26
